Receiver,FISHID,x_plane,y_plane,Total.Length,Sex,Year,Month,Month.NUM,Day.of.month,Time,Year.3,Date,Day.of.year,Time.Hr,Hour.of.year,Day,location,Rec_Group,water_feature_type
109768,1924,397202,5774610,547,m,2011,January,1,5,1,2011,05/01/2011,5,12,60,40548,Centre outer forebay,Confluence,Reservoir
109369,1720,401855,5772877,691,f,2011,January,1,5,1,2011,05/01/2011,5,13,65,40548,Red rock (middle),Confluence,Reservoir
107325,1744,456148,5730006,696,m,2011,January,1,5,1,2011,05/01/2011,5,13,65,40548,Gold Creek,Bush Arm,delta
109768,1924,397202,5774610,547,m,2011,January,1,5,1,2011,05/01/2011,5,13,65,40548,Centre outer forebay,Confluence,Reservoir
107325,1744,456148,5730006,696,m,2011,January,1,5,1,2011,05/01/2011,5,14,70,40548,Gold Creek,Bush Arm,delta
109768,1924,397202,5774610,547,m,2011,January,1,5,1,2011,05/01/2011,5,15,75,40548,Centre outer forebay,Confluence,Reservoir
109370,1956,404815,5778642,581,m,2011,January,1,5,1,2011,05/01/2011,5,15,75,40548,Mouth of Wood Arm,Confluence,delta
109369,1720,401855,5772877,691,f,2011,January,1,5,1,2011,05/01/2011,5,16,80,40548,Red rock (middle),Confluence,Reservoir
109371,1652,415224,5776783,475,m,2011,January,1,5,1,2011,05/01/2011,5,18,90,40548,Jumping Jack Creek,Wood Arm,delta
109390,1948,403809,5773798,637,m,2011,January,1,5,1,2011,05/01/2011,5,18,90,40548,Welsh Bay,Confluence,Reservoir
109371,1652,415224,5776783,475,m,2011,January,1,5,1,2011,05/01/2011,5,19,95,40548,Jumping Jack Creek,Wood Arm,delta
109370,1692,404815,5778642,595,f,2011,January,1,5,1,2011,05/01/2011,5,19,95,40548,Mouth of Wood Arm,Confluence,delta
109391,1612,401896,5781275,606,f,2011,January,1,5,1,2011,05/01/2011,5,20,100,40548,Molson Creek (replaced),Confluence,Reservoir
